# userId,movieId,rating
11,169,3.0
73,169,0.5
182,169,3.0
335,169,2.5
392,169,1.5
515,169,5.0
518,169,4.0
564,169,1.0
12,3865,5.0
33,3865,2.0
189,3865,2.0
239,3865,5.0
558,3865,2.0
564,3865,1.0
15,1173,3.0
17,1173,1.0
21,1173,5.0
81,1173,4.5
102,1173,5.0
105,1173,3.5
189,1173,5.0
206,1173,2.0
232,1173,1.0
262,1173,4.0
299,1173,4.5
492,1173,5.0
497,1173,1.0
502,1173,5.0
509,1173,3.0
514,1173,4.0
545,1173,2.0
547,1173,0.5
564,1173,2.0
15,1735,0.5
23,1735,4.5
52,1735,5.0
99,1735,4.0
163,1735,4.5
187,1735,4.0
232,1735,4.0
294,1735,2.5
407,1735,4.0
461,1735,1.5
468,1735,3.0
509,1735,2.0
557,1735,0.5
592,1735,3.0
665,1735,1.0
15,2560,3.0
73,2560,4.0
346,2560,1.0
388,2560,2.0
564,2560,5.0
15,3181,1.0
119,3181,4.0
189,3181,5.0
341,3181,5.0
407,3181,5.0
427,3181,3.0
15,5792,4.0
198,5792,1.0
427,5792,4.5
509,5792,3.5
547,5792,0.5
15,37386,2.0
73,37386,3.0
205,37386,3.5
213,37386,1.5
353,37386,1.0
367,37386,3.5
384,37386,2.5
430,37386,4.5
475,37386,1.0
477,37386,5.0
561,37386,4.0
596,37386,0.5
624,37386,1.0
15,79428,1.0
91,79428,3.0
380,79428,2.0
394,79428,5.0
624,79428,1.5
15,116823,0.5
73,116823,0.5
149,116823,4.0
213,116823,3.0
270,116823,3.5
287,116823,5.0
339,116823,3.0
475,116823,2.0
483,116823,3.0
660,116823,4.5
15,122904,1.0
40,122904,4.5
72,122904,3.0
73,122904,4.5
98,122904,5.0
250,122904,3.0
251,122904,5.0
270,122904,3.5
273,122904,5.0
277,122904,2.0
371,122904,1.0
380,122904,5.0
402,122904,4.5
438,122904,3.5
457,122904,0.5
483,122904,1.5
519,122904,4.0
615,122904,4.5
17,482,0.5
19,482,2.0
34,482,5.0
73,482,4.0
86,482,4.0
119,482,3.0
177,482,4.0
388,482,4.0
510,482,1.0
647,482,1.0
17,714,4.5
255,714,4.5
262,714,3.0
299,714,4.5
430,714,4.5
472,714,1.0
502,714,5.0
509,714,2.0
510,714,1.0
537,714,4.0
544,714,5.0
17,1232,5.0
23,1232,4.0
81,1232,4.5
176,1232,0.5
208,1232,2.0
297,1232,5.0
339,1232,3.5
492,1232,5.0
563,1232,4.0
608,1232,5.0
22,8947,3.0
73,8947,0.5
78,8947,3.5
165,8947,1.0
187,8947,2.0
201,8947,5.0
262,8947,2.5
295,8947,4.5
362,8947,3.0
370,8947,5.0
475,8947,1.0
624,8947,2.0
664,8947,3.0
23,1202,4.5
105,1202,4.0
373,1202,4.0
391,1202,5.0
472,1202,5.0
492,1202,2.0
609,1202,1.0
30,8,4.0
113,8,5.0
128,8,4.0
182,8,5.0
614,8,1.0
30,523,2.0
348,523,5.0
467,523,4.0
537,523,1.0
547,523,3.0
564,523,5.0
30,2535,4.0
405,2535,2.0
529,2535,1.0
547,2535,1.0
564,2535,5.0
605,2535,3.0
30,2738,3.0
242,2738,4.0
358,2738,2.0
545,2738,1.0
547,2738,1.0
564,2738,5.0
30,3218,1.0
102,3218,4.0
